12.8.2020-17:42:37//grupajderiAssembleBot joined General(botTestServer)
12.8.2020-17:42:38//grupajderiAssembleBot left General(botTestServer)
12.8.2020-17:42:51//grupajderiAssembleBot joined General(botTestServer)
12.8.2020-17:42:52//grupajderiAssembleBot left General(botTestServer)
12.8.2020-17:43:3//grupajderiAssembleBot joined General(botTestServer)
12.8.2020-17:43:7//grupajderiAssembleBot left General(botTestServer)
12.8.2020-17:43:55//grupajderiAssembleBot joined General(botTestServer)
12.8.2020-17:43:59//grupajderiAssembleBot left General(botTestServer)
12.8.2020-17:45:28//solimm4sks left General(botTestServer)
12.8.2020-17:45:33//solimm4sks joined General(botTestServer)
12.8.2020-17:45:36//grupajderiAssembleBot joined General(botTestServer)
12.8.2020-17:45:39//grupajderiAssembleBot left General(botTestServer)
12.8.2020-17:45:41//solimm4sks left General(botTestServer)
12.8.2020-17:45:47//solimm4sks joined LOL(Thy Server)
12.8.2020-17:47:57//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-17:48:1//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-17:48:10//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-17:48:13//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-17:48:22//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-17:48:25//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-17:48:29//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-17:48:33//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-17:48:45//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-17:48:48//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-17:48:48//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-17:51:0//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-17:51:8//Groovy joined LOL(Thy Server)
12.8.2020-18:6:48//Groovy left LOL(Thy Server)
12.8.2020-18:13:19//jarkela left LOL(Thy Server)
12.8.2020-18:13:21//jarkela joined LOL(Thy Server)
12.8.2020-18:21:50//solimm4sks left LOL(Thy Server)
12.8.2020-18:21:50//solimm4sks joined LOL(Thy Server)
12.8.2020-18:22:16//solimm4sks left LOL(Thy Server)
12.8.2020-18:22:17//Urosh left LOL(Thy Server)
12.8.2020-18:22:17//jarkela left LOL(Thy Server)
12.8.2020-18:22:19//illneso left LOL(Thy Server)
12.8.2020-20:39:7//solimm4sks joined LOL(Thy Server)
12.8.2020-20:39:50//illneso joined LOL(Thy Server)
12.8.2020-20:40:2//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-20:40:6//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-21:38:42//solimm4sks left LOL(Thy Server)
12.8.2020-21:39:33//illneso left LOL(Thy Server)
12.8.2020-22:15:52//Mr. Janja joined LOL(Thy Server)
12.8.2020-22:15:58//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-22:16:1//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-22:16:10//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-22:16:13//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-22:16:18//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-22:16:21//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-22:16:40//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-22:16:43//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-22:16:58//grupajderiAssembleBot joined LOL(Thy Server)
12.8.2020-22:17:1//grupajderiAssembleBot left LOL(Thy Server)
12.8.2020-22:17:5//Mr. Janja left LOL(Thy Server)
15.8.2020-0:26:5//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-0:26:9//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-0:26:21//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-0:26:24//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-0:26:32//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-0:26:35//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-0:31:19//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-0:31:22//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-1:5:46//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-1:5:50//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-1:6:9//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-1:6:12//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-1:6:20//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-1:6:25//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-1:8:46//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-1:8:50//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-1:8:52//grupajderiAssembleBot joined Chill(Thy Server)
15.8.2020-1:10:7//grupajderiAssembleBot left Chill(Thy Server)
15.8.2020-1:10:12//grupajderiAssembleBot joined Chill(Thy Server)
